d       s       a       m_i   
133     10      274     1 1 1 11 13 11 61 71 397 919 
134     10      283     1 1 7 11 1 3 21 127 263 597 
135     10      289     1 3 1 9 3 31 41 179 499 313 
136     10      295     1 1 7 11 5 43 33 41 53 917 
137     10      301     1 3 3 9 1 63 35 139 169 945 
138     10      316     1 1 7 3 31 13 51 105 333 703 
139     10      319     1 1 5 3 5 5 127 103 465 989 
140     10      324     1 1 3 1 31 3 87 41 511 713 
141     10      346     1 1 7 1 7 29 19 237 235 531 
142     10      352     1 1 7 13 21 11 111 51 461 525 
143     10      361     1 3 3 13 27 49 123 241 365 137 
144     10      367     1 1 7 13 17 43 43 115 483 291 
145     10      382     1 1 3 7 5 17 127 167 371 417 
146     10      395     1 3 7 9 11 21 123 29 133 9 
147     10      398     1 3 1 7 13 35 99 161 45 347 
148     10      400     1 1 1 7 15 21 31 131 441 635 
149     10      412     1 1 3 7 21 63 119 175 183 189 
150     10      419     1 3 7 3 17 39 21 201 31 747 
151     10      422     1 1 5 15 7 23 127 169 341 975 
152     10      426     1 3 3 15 27 39 67 111 501 343 
153     10      428     1 3 7 15 13 3 99 145 259 579 
154     10      433     1 1 5 13 27 45 9 229 139 1015 
155     10      446     1 1 3 11 1 61 35 77 423 987 
156     10      454     1 1 7 11 13 53 99 165 329 191 
157     10      457     1 1 1 11 13 31 15 237 359 337 
158     10      472     1 3 1 1 1 15 35 175 347 485 
159     10      493     1 1 5 9 3 15 63 19 123 633 
160     10      505     1 3 5 3 9 5 51 123 239 829 
161     10      508     1 1 3 15 27 49 1 177 433 237 
162     11      2       1 3 3 1 25 1 71 187 3 455 1559 
163     11      11      1 1 1 5 17 53 71 115 87 811 1559 
164     11      21      1 3 3 9 3 5 93 233 413 105 335 
165     11      22      1 3 7 5 13 33 45 45 255 691 1827 
166     11      35      1 1 5 7 3 51 57 119 355 151 297 
167     11      49      1 1 1 13 17 11 19 5 369 661 877 
168     11      50      1 1 7 3 3 61 15 207 161 811 1585 
169     11      56      1 3 7 9 11 63 105 45 209 605 835 
170     11      61      1 1 1 7 11 47 35 73 303 809 1813 
171     11      70      1 1 1 1 9 35 69 219 5 281 1263 
172     11      74      1 1 5 1 9 25 85 159 415 471 345 
173     11      79      1 3 7 11 11 61 43 109 327 865 1635 
174     11      84      1 1 3 13 21 39 123 211 355 91 1481 
175     11      88      1 3 1 15 17 39 69 149 133 779 575 
176     11      103     1 3 5 9 15 49 7 183 25 823 971 
177     11      104     1 3 1 7 31 63 9 187 211 473 485 
178     11      112     1 3 7 11 9 1 35 177 435 307 1493 
179     11      115     1 1 7 3 27 51 91 63 511 179 251 
180     11      117     1 1 5 11 27 49 125 111 283 577 397 
181     11      122     1 3 7 15 11 7 19 85 111 629 435 
182     11      134     1 3 3 9 7 11 127 25 139 271 263 
183     11      137     1 1 1 15 21 25 55 129 211 755 1695 
184     11      146     1 1 7 15 13 23 107 241 231 319 385 
185     11      148     1 1 5 11 31 31 97 141 93 759 1199 
186     11      157     1 3 5 9 25 15 63 79 321 53 1877 
187     11      158     1 1 7 5 11 59 113 77 75 453 1617 
188     11      162     1 3 1 15 19 33 65 141 109 211 213 
189     11      164     1 3 3 13 17 1 123 1 305 271 1835 
190     11      168     1 3 7 7 9 61 83 75 355 595 773 
191     11      173     1 3 5 13 31 53 97 193 95 933 535 
192     11      185     1 1 3 11 21 47 95 31 399 115 265 
193     11      186     1 3 3 3 19 43 97 29 259 671 1789 
194     11      191     1 1 1 7 11 3 1 167 73 21 587 
195     11      193     1 1 7 1 7 29 113 243 389 605 1267 
196     11      199     1 3 3 1 19 17 43 89 467 501 137 
197     11      213     1 1 1 7 13 41 97 123 153 603 1469 
198     11      214     1 3 5 3 25 29 45 231 489 305 1071 
199     11      220     1 1 7 3 31 51 59 113 309 923 1171 
200     11      227     1 1 5 11 7 41 55 207 181 565 913 
201     11      236     1 1 3 9 9 45 25 49 135 777 593 
202     11      242     1 3 5 3 31 3 51 253 369 853 1985 
203     11      251     1 3 1 3 25 7 89 193 153 835 341 
204     11      256     1 3 1 15 29 51 1 159 77 423 1319 
205     11      259     1 1 5 11 31 51 93 249 321 841 619 
206     11      265     1 3 1 7 17 11 99 45 407 123 1363 
207     11      266     1 3 5 5 13 39 65 195 55 991 1105 
208     11      276     1 1 5 11 13 11 79 239 93 683 1459 
209     11      292     1 1 5 11 23 5 29 73 197 17 953 
210     11      304     1 1 3 7 15 61 27 247 233 115 1615 
211     11      310     1 3 5 1 11 33 9 163 481 325 109 
212     11      316     1 3 5 5 29 9 89 175 101 821 1277 
213     11      319     1 1 5 5 23 63 73 19 217 9 2021 
214     11      322     1 3 1 13 13 27 71 159 487 567 1891 
215     11      328     1 3 5 5 23 57 27 137 95 55 589 
216     11      334     1 1 3 3 19 59 41 29 203 321 1349 
217     11      339     1 3 3 9 15 19 29 71 361 643 325 
218     11      341     1 3 7 7 31 17 87 185 379 107 1675 
219     11      345     1 3 5 15 19 49 59 75 83 651 1513 
220     11      346     1 1 7 9 25 31 121 211 119 201 1505 
221     11      362     1 1 5 13 7 51 57 21 453 501 217 
222     11      367     1 1 3 7 19 59 73 81 71 75 213 
223     11      372     1 1 3 13 3 57 21 173 49 261 1987 
224     11      375     1 3 5 5 25 3 7 45 447 861 305 
225     11      376     1 3 3 1 25 41 125 93 185 539 165 
226     11      381     1 3 7 7 13 43 29 19 237 103 1209 
227     11      385     1 3 7 5 1 17 29 141 497 135 1589 
228     11      388     1 1 1 15 5 35 57 141 101 697 881 
229     11      392     1 1 3 11 25 13 103 23 115 25 1343 
230     11      409     1 3 1 11 3 55 115 225 189 589 1005 
231     11      415     1 1 7 5 23 21 89 247 453 13 551 
232     11      416     1 1 5 7 1 43 121 229 7 1009 1805 
233     11      421     1 1 1 5 25 27 125 9 37 207 1741 
234     11      428     1 1 1 11 15 17 127 245 41 279 1599 
235     11      431     1 1 7 5 21 9 25 243 167 659 1071 
236     11      434     1 3 7 9 25 3 37 105 117 915 1619 
237     11      439     1 1 3 5 5 25 79 85 67 517 1289 
238     11      446     1 3 5 11 1 45 95 157 73 119 867 
239     11      451     1 3 7 11 25 19 83 137 139 953 1521 
240     11      453     1 3 7 11 7 47 15 41 461 293 535 
241     11      457     1 1 1 15 23 31 109 177 97 673 165 
242     11      458     1 3 3 1 3 23 105 167 5 255 795 
243     11      471     1 1 3 15 7 13 123 159 371 963 259 
244     11      475     1 3 5 15 5 57 71 13 141 463 611 
245     11      478     1 1 1 7 5 49 61 197 243 969 503 
246     11      484     1 1 7 11 19 37 101 121 441 497 1185 
247     11      493     1 3 7 5 1 61 99 139 71 485 635 
248     11      494     1 1 3 11 25 41 111 151 475 995 1879 
249     11      499     1 3 7 15 21 45 87 183 451 115 2019 
250     11      502     1 1 7 13 5 55 85 213 285 873 1597 
251     11      517     1 1 3 11 7 33 103 59 325 995 977 
252     11      518     1 3 1 3 11 35 123 97 473 587 1675 
253     11      524     1 3 1 5 23 3 51 243 247 983 1631 
254     11      527     1 3 5 11 1 39 11 65 103 885 1921 
255     11      555     1 3 5 3 17 41 95 85 139 821 241 
256     11      560     1 1 7 3 19 53 125 43 363 793 1245 
257     11      565     1 3 1 7 13 5 53 71 363 599 1165 
258     11      569     1 1 3 3 5 63 89 27 227 65 703 
259     11      578     1 1 3 5 11 33 41 21 179 121 1165 
260     11      580     1 3 7 7 15 27 127 49 379 113 733 
261     11      587     1 3 7 13 3 17 67 199 175 845 1707 
262     11      589     1 1 5 1 13 17 59 167 463 131 943 
263     11      590     1 3 5 7 31 7 55 7 267 319 1173 
264     11      601     1 3 1 5 19 49 37 249 471 191 1889 
265     11      607     1 1 7 5 1 57 107 79 111 887 781 
266     11      611     1 1 3 15 27 43 7 95 3 437 1103 
267     11      614     1 3 7 15 11 25 103 107 385 157 157 
268     11      617     1 3 3 3 25 57 37 247 111 931 1919 
269     11      618     1 3 3 13 27 7 107 199 331 383 1957 
270     11      625     1 3 1 13 21 23 67 1 379 729 581 
271     11      628     1 3 7 7 3 25 85 245 463 41 1209 
272     11      635     1 1 1 11 21 7 53 117 273 249 125 
273     11      641     1 1 7 15 13 9 69 37 227 449 1721 
274     11      647     1 1 3 11 21 37 3 71 427 745 1125 
275     11      654     1 1 3 15 3 21 119 65 455 925 1449 
276     11      659     1 1 5 1 29 19 81 113 153 633 1687 
277     11      662     1 1 1 7 17 57 13 211 319 783 1155 
278     11      672     1 1 5 7 3 19 85 87 391 361 1145 
279     11      675     1 3 5 7 29 41 23 41 453 851 1683 
280     11      682     1 1 1 5 23 13 47 67 431 573 1755 
281     11      684     1 3 3 1 21 57 53 63 281 995 2041 
282     11      689     1 3 7 13 27 21 39 13 135 477 1855 
283     11      695     1 3 3 11 11 23 95 167 35 659 619 
284     11      696     1 3 1 11 11 57 41 203 391 95 167 
285     11      713     1 3 5 7 9 45 5 221 171 283 595 
286     11      719     1 3 7 11 25 47 75 55 207 135 1733 
287     11      724     1 3 1 1 29 47 111 123 257 439 83 
288     11      733     1 1 1 1 9 49 89 117 315 889 625 
289     11      734     1 3 7 13 19 41 29 227 21 287 1057 
290     11      740     1 3 3 5 5 35 7 181 285 677 1415 
291     11      747     1 3 5 15 7 13 51 21 467 277 1411 
292     11      749     1 1 3 7 7 59 57 105 315 317 425 
293     11      752     1 1 3 11 29 27 51 135 17 209 1435 
294     11      755     1 1 3 15 13 49 47 5 299 17 1273 
295     11      762     1 3 5 13 11 43 93 75 307 249 971 
296     11      770     1 3 7 5 27 23 23 213 191 163 171 
297     11      782     1 1 5 1 25 41 21 59 251 139 723 
298     11      784     1 1 5 9 23 21 35 49 499 411 727 
299     11      787     1 3 3 9 23 35 111 245 393 731 1299 
300     11      789     1 1 7 5 3 11 109 233 193 783 1797 
301     11      793     1 1 3 9 11 49 41 59 177 329 897 
302     11      796     1 3 3 5 1 23 93 9 337 613 2025 
303     11      803     1 3 5 7 31 33 15 119 159 17 757 
304     11      805     1 3 5 15 31 27 47 141 91 793 1433 
305     11      810     1 1 3 3 5 1 79 237 97 919 1405 
306     11      815     1 3 3 11 29 17 27 221 215 785 1479 
307     11      824     1 1 5 5 21 25 35 169 401 283 821 
308     11      829     1 1 5 15 9 59 69 47 367 47 387 
309     11      830     1 1 1 1 21 11 101 147 339 873 1139 
310     11      832     1 3 1 3 9 63 125 247 267 529 2039 
311     11      841     1 1 1 5 21 17 127 35 439 151 157 
312     11      847     1 3 1 1 9 9 79 63 103 9 1921 
313     11      849     1 1 5 7 13 55 57 53 157 799 1175 
314     11      861     1 3 3 9 5 17 81 55 359 1019 1629 
315     11      871     1 1 3 11 19 41 95 255 189 705 1605 
316     11      878     1 1 5 5 21 47 91 205 145 45 333 
317     11      889     1 1 3 15 27 63 125 37 301 795 1241 
318     11      892     1 3 1 3 31 49 69 243 505 369 1221 
319     11      901     1 1 1 7 11 7 25 57 315 405 1929 
320     11      908     1 3 7 9 19 51 3 229 501 965 1357 
321     11      920     1 1 1 3 3 57 95 151 205 997 747 
322     11      923     1 1 7 15 19 53 91 11 243 329 727 
323     11      942     1 1 5 13 23 39 49 93 287 755 123 
324     11      949     1 3 5 3 31 27 45 31 19 941 2021 
325     11      950     1 1 1 9 5 43 81 41 75 433 93 
326     11      954     1 1 3 9 19 19 93 209 321 703 1021 
327     11      961     1 3 1 11 17 5 49 39 195 979 1447 
328     11      968     1 1 7 9 21 7 53 195 195 751 367 
329     11      971     1 1 3 5 31 11 37 85 393 487 561 
330     11      973     1 1 5 7 7 23 47 13 87 105 1159 
331     11      979     1 1 1 9 23 47 99 111 229 775 1637 
332     11      982     1 3 7 5 13 3 15 143 425 551 635 
333     11      986     1 1 7 9 29 29 107 111 105 795 991 
334     11      998     1 3 1 5 11 1 23 61 107 861 745 
335     11      1001    1 1 7 11 19 11 1 253 25 75 463 
336     11      1010    1 1 5 3 3 45 97 223 59 379 95 
337     11      1012    1 3 1 5 27 11 21 255 65 317 633 
338     12      41      1 3 1 5 19 27 87 39 127 7 533 3863 
339     12      52      1 3 5 5 27 53 11 51 349 399 1357 3101 
340     12      61      1 1 1 15 31 13 71 83 455 165 1223 257 
341     12      62      1 3 3 15 3 39 3 41 371 795 1149 707 
342     12      76      1 3 7 11 5 17 55 181 95 499 1691 855 
343     12      104     1 3 3 3 23 1 75 197 421 913 201 3105 
344     12      117     1 1 3 5 21 11 75 177 269 379 1969 4027 
345     12      131     1 3 7 13 15 13 21 55 203 319 333 329 
346     12      143     1 1 5 11 21 41 45 227 51 155 1279 1769 
347     12      145     1 3 7 11 17 9 5 63 491 835 1807 65 
348     12      157     1 3 5 3 11 3 53 183 321 589 1763 479 
349     12      167     1 1 1 13 25 7 35 219 405 895 497 825 
350     12      171     1 3 7 5 1 15 17 115 183 55 1761 2289 
351     12      176     1 1 7 11 1 15 63 215 443 539 1675 1621 
352     12      181     1 1 1 15 19 29 107 59 171 965 1511 1685 
353     12      194     1 1 5 9 7 53 123 71 151 847 1627 1859 
354     12      217     1 1 1 3 11 19 87 179 327 763 1845 939 
355     12      236     1 1 3 7 13 11 3 249 293 309 1131 2079 
356     12      239     1 3 5 3 15 57 79 15 477 365 251 585 
357     12      262     1 1 1 5 23 47 53 41 439 303 1189 3165 
358     12      283     1 1 7 13 5 3 109 101 445 647 669 1229 
359     12      286     1 1 5 15 11 5 1 131 361 493 125 3765 
360     12      307     1 3 1 13 21 63 81 13 77 489 1963 1175 
361     12      313     1 3 3 13 9 61 81 137 341 599 835 1365 
362     12      319     1 3 3 13 23 17 99 23 85 53 1101 727 
363     12      348     1 3 5 11 27 25 65 45 447 183 1239 265 
364     12      352     1 1 7 13 7 13 37 79 187 395 1521 1515 
365     12      357     1 1 7 1 13 61 83 245 321 473 893 1873 
366     12      391     1 3 1 13 11 15 25 53 197 515 1523 2003 
367     12      398     1 1 1 13 29 45 53 211 361 605 1389 2099 
368     12      400     1 1 3 3 15 3 89 125 505 89 735 1189 
369     12      412     1 3 5 9 5 47 97 195 355 951 605 1457 
370     12      415     1 3 1 11 21 5 13 83 27 845 167 771 
371     12      422     1 3 3 3 11 51 105 43 233 925 733 2273 
372     12      440     1 3 5 3 25 35 43 27 333 141 87 2027 
373     12      460     1 3 7 13 17 25 73 217 381 343 1201 1469 
374     12      465     1 3 3 5 13 49 13 69 299 833 177 2107 
375     12      468     1 1 7 7 13 51 57 85 351 731 1813 2861 
376     12      515     1 3 5 3 21 31 103 43 423 57 1727 3321 
377     12      536     1 3 1 9 23 55 39 191 203 979 55 3049 
378     12      539     1 1 1 7 9 43 3 71 303 153 1049 1311 
379     12      551     1 3 3 11 3 3 51 203 341 787 871 901 
380     12      558     1 1 5 7 25 33 119 199 41 653 55 821 
381     12      563     1 3 3 13 1 55 123 211 3 283 25 3427 
382     12      570     1 3 1 11 27 49 9 75 27 401 1669 2469 
383     12      595     1 1 1 1 21 61 23 49 89 557 1127 3445 
384     12      598     1 3 3 13 27 55 125 63 209 973 1849 3893 
385     12      617     1 3 3 1 9 21 29 227 15 769 871 981 
386     12      647     1 3 3 5 17 51 115 239 59 953 1799 1169 
387     12      654     1 1 7 5 17 23 113 221 61 903 653 3673 
388     12      678     1 1 3 9 23 35 55 103 93 847 1947 395 
389     12      713     1 1 5 3 31 61 123 217 43 383 1245 2725 
390     12      738     1 1 5 11 27 3 113 193 287 969 1021 121 
391     12      747     1 3 1 11 5 63 119 237 143 287 1941 3279 
392     12      750     1 1 5 7 9 61 21 75 485 721 489 2011 
393     12      757     1 3 5 13 27 39 41 139 301 667 983 283 
394     12      772     1 3 7 5 17 51 111 51 447 691 425 1361 
395     12      803     1 3 3 3 9 29 117 83 427 499 1097 1965 
396     12      810     1 3 1 3 29 53 19 77 179 761 1593 3249 
397     12      812     1 1 1 7 25 27 69 43 405 185 1315 893 
398     12      850     1 1 7 3 15 1 43 119 231 153 939 3411 
399     12      862     1 1 7 11 19 53 75 157 167 987 1127 3601 
400     12      906     1 3 7 15 31 9 91 151 511 269 751 2945 
401     12      908     1 1 7 11 13 45 105 23 429 429 1859 2909 
402     12      929     1 1 3 9 19 9 77 41 39 557 185 1463 
403     12      930     1 1 3 7 19 23 29 163 77 889 1623 1823 
404     12      954     1 3 5 7 9 61 115 127 87 695 1117 1235 
405     12      964     1 3 5 9 27 5 31 167 419 165 1867 4007 
406     12      982     1 1 3 11 15 19 39 39 387 499 1383 2981 
407     12      985     1 1 7 1 31 51 23 203 273 389 1989 3119 
408     12      991     1 3 5 9 9 29 47 109 143 489 1093 1931 
409     12      992     1 3 1 11 5 63 35 143 181 59 91 1581 
410     12      1067    1 3 5 9 11 23 123 59 191 877 551 1377 
411     12      1070    1 3 7 9 25 55 105 105 425 931 2047 3787 
412     12      1096    1 3 7 9 19 63 13 87 445 877 835 3575 
413     12      1099    1 3 1 9 9 37 87 141 293 925 1289 1669 
414     12      1116    1 3 5 5 27 57 79 205 245 405 387 3065 
415     12      1143    1 1 1 11 29 63 23 21 221 671 683 717 
416     12      1165    1 3 1 5 17 21 121 111 461 303 273 2299 
417     12      1178    1 3 1 3 25 49 93 9 213 117 1539 2349 
418     12      1184    1 1 7 13 25 43 99 205 75 779 7 617 
419     12      1202    1 3 7 15 13 19 125 177 229 191 799 2293 
420     12      1213    1 3 3 7 13 5 61 129 403 559 1579 3239 
421     12      1221    1 3 7 5 23 7 21 59 91 833 963 1907 
422     12      1240    1 3 5 5 13 27 51 247 253 235 1815 2943 
423     12      1246    1 3 1 1 5 33 65 213 417 673 773 2071 
424     12      1252    1 1 3 5 13 29 87 131 183 247 1621 1703 
425     12      1255    1 3 1 9 9 61 101 161 227 669 1841 1903 
426     12      1267    1 1 1 15 7 63 111 247 121 557 369 2909 
427     12      1293    1 3 1 9 15 55 85 127 383 639 73 4051 
428     12      1301    1 1 1 9 17 63 43 115 353 181 473 3795 
429     12      1305    1 3 3 7 31 1 15 217 493 107 59 3581 
430     12      1332    1 1 7 3 17 27 59 39 167 117 1789 963 
431     12      1349    1 3 3 1 27 11 41 33 313 701 337 2765 
432     12      1384    1 1 1 13 19 15 79 103 335 367 139 439 
433     12      1392    1 3 1 15 27 23 57 241 183 889 161 393 
434     12      1402    1 3 7 15 3 43 37 151 447 997 1745 2981 
435     12      1413    1 3 3 7 25 37 87 211 29 233 1589 2829 
436     12      1417    1 1 7 5 27 11 109 95 495 965 27 3341 
437     12      1423    1 3 3 7 19 33 27 165 445 259 15 2545 
438     12      1451    1 1 1 11 7 33 111 41 187 863 1743 2527 
439     12      1480    1 1 7 13 31 17 77 121 99 915 2045 459 
440     12      1491    1 3 5 13 11 45 35 233 133 81 1859 1689 
441     12      1503    1 1 5 7 15 23 107 159 115 321 1985 347 
442     12      1504    1 3 5 7 31 55 27 247 427 737 343 797 
443     12      1513    1 1 5 1 1 49 79 241 31 307 1157 881 
444     12      1538    1 1 1 3 31 27 83 155 489 453 573 3387 
445     12      1544    1 1 7 5 1 29 71 171 37 287 951 2533 
446     12      1547    1 1 1 5 27 5 125 247 185 729 355 3717 
447     12      1555    1 1 3 1 31 55 71 255 45 513 5 703 
448     12      1574    1 1 3 15 9 43 117 41 29 155 1909 163 
449     12      1603    1 3 1 11 19 17 43 13 431 863 1791 2157 
450     12      1615    1 1 7 5 15 39 31 75 11 659 227 4073 
451     12      1618    1 1 3 9 27 49 111 17 451 763 671 445 
452     12      1629    1 3 3 7 21 17 57 161 79 505 1907 2521 
453     12      1634    1 3 3 7 19 59 57 95 137 991 115 3043 
454     12      1636    1 3 3 5 15 21 39 43 9 419 573 3997 
455     12      1639    1 3 5 11 3 47 113 57 375 175 1797 2141 
456     12      1657    1 1 5 7 1 35 83 201 431 479 1539 3629 
457     12      1667    1 1 7 3 13 59 123 245 245 617 39 313 
458     12      1681    1 1 7 7 5 9 51 3 389 243 545 3761 
459     12      1697    1 3 5 9 3 45 127 203 115 885 1043 1455 
460     12      1704    1 3 5 1 5 39 7 111 421 497 1371 389 
461     12      1709    1 3 1 3 17 53 93 89 159 667 1317 817 
462     12      1722    1 1 3 5 25 51 53 227 1 851 1375 2049 
463     12      1730    1 1 1 11 1 29 61 215 397 665 459 2845 
464     12      1732    1 3 3 5 13 11 63 115 69 537 1503 3045 
465     12      1802    1 1 1 3 7 11 119 189 429 733 295 1641 
466     12      1804    1 3 1 9 5 55 89 117 491 521 1041 1909 
467     12      1815    1 1 7 13 29 5 81 71 329 229 1731 557 
468     12      1826    1 3 1 7 11 43 53 129 237 813 845 1681 
469     12      1832    1 3 5 7 1 63 41 237 383 843 307 859 
470     12      1843    1 1 7 15 31 51 87 69 177 315 1917 1851 
471     12      1849    1 1 5 13 17 39 105 3 369 395 883 893 
472     12      1863    1 1 3 3 25 47 49 87 489 317 211 1319 
473     12      1905    1 3 3 11 21 13 121 89 387 879 1779 279 
474     12      1928    1 1 5 15 19 5 43 65 497 123 1221 2825 
475     12      1933    1 1 1 13 13 53 121 217 219 691 1689 3601 
476     12      1939    1 3 5 9 11 5 109 141 5 819 883 3377 
477     12      1976    1 3 5 5 3 55 73 43 9 909 807 2951 
478     12      1996    1 3 7 9 23 47 113 203 25 225 815 2283 
479     12      2013    1 3 3 1 7 49 107 169 67 159 429 2663 
480     12      2014    1 1 7 11 27 11 119 229 213 135 677 2621 
481     12      2020    1 3 3 7 29 47 3 201 163 559 263 655 
482     13      13      1 1 1 15 23 3 55 3 107 779 1405 619 6925 
483     13      19      1 1 1 3 23 49 15 3 157 415 723 2023 4433 
484     13      26      1 3 3 9 7 11 45 249 53 395 1535 875 5633 
485     13      41      1 3 1 15 17 23 111 35 253 177 845 529 7833 
486     13      50      1 1 1 11 21 15 71 41 495 605 775 1035 3619 
