d       s       a       m_i   
133     10      274     1 3 7 3 19 53 11 215 391 51 
134     10      283     1 3 7 15 17 1 53 89 291 91 
135     10      289     1 3 5 1 5 33 69 29 281 13 
136     10      295     1 1 3 15 21 61 61 69 395 785 
137     10      301     1 1 7 7 25 51 27 11 375 865 
138     10      316     1 1 3 1 11 47 45 85 507 11 
139     10      319     1 3 5 5 17 53 101 57 213 795 
140     10      324     1 1 7 7 15 19 117 213 397 343 
141     10      346     1 3 3 7 9 19 27 23 205 707 
142     10      352     1 3 1 13 11 51 1 3 63 483 
143     10      361     1 1 7 13 27 49 97 247 273 785 
144     10      367     1 3 1 15 31 3 43 199 81 317 
145     10      382     1 3 5 15 17 3 101 13 131 631 
146     10      395     1 3 5 1 25 23 17 145 247 889 
147     10      398     1 1 7 7 17 5 11 133 19 507 
148     10      400     1 3 1 7 31 53 39 107 183 335 
149     10      412     1 3 7 15 3 19 39 155 477 833 
150     10      419     1 1 1 9 31 7 5 5 399 831 
151     10      422     1 1 3 1 19 37 89 243 131 901 
152     10      426     1 1 3 13 23 3 127 213 97 325 
153     10      428     1 1 7 9 23 27 7 161 307 451 
154     10      433     1 1 5 1 5 25 23 103 59 431 
155     10      446     1 1 3 7 3 43 121 117 33 231 
156     10      454     1 3 7 7 11 61 73 231 225 97 
157     10      457     1 1 5 11 1 9 61 3 407 425 
158     10      472     1 3 3 7 1 25 95 161 387 379 
159     10      493     1 3 1 1 15 53 55 107 425 629 
160     10      505     1 3 7 11 31 59 97 99 339 417 
161     10      508     1 3 1 9 9 5 7 157 401 155 
162     11      2       1 3 1 7 31 15 37 253 93 149 1255 
163     11      11      1 1 1 9 11 61 65 71 53 929 1153 
164     11      21      1 1 7 15 13 25 93 55 55 923 601 
165     11      22      1 1 7 7 21 43 71 115 253 953 1455 
166     11      35      1 3 5 7 3 31 115 213 39 589 1029 
167     11      49      1 3 5 1 7 59 31 87 233 75 365 
168     11      50      1 1 1 15 13 27 55 117 327 465 1735 
169     11      56      1 3 5 9 25 9 125 247 81 437 483 
170     11      61      1 3 5 15 27 39 27 57 45 263 281 
171     11      70      1 3 1 5 29 5 73 231 97 773 1349 
172     11      74      1 3 5 5 25 27 81 87 91 169 235 
173     11      79      1 3 1 11 19 61 17 175 253 673 175 
174     11      84      1 1 7 7 17 43 65 245 125 137 1475 
175     11      88      1 1 7 5 15 57 39 151 197 529 393 
176     11      103     1 3 3 3 29 41 93 47 375 729 709 
177     11      104     1 1 7 9 13 35 49 197 107 381 1531 
178     11      112     1 1 5 9 15 35 105 105 259 201 317 
179     11      115     1 1 7 15 13 23 89 203 335 1003 107 
180     11      117     1 3 7 15 25 25 7 145 213 845 949 
181     11      122     1 1 5 1 23 11 101 59 57 261 1627 
182     11      134     1 3 5 11 23 63 43 137 49 249 1369 
183     11      137     1 1 7 13 25 3 81 157 511 725 2027 
184     11      146     1 1 7 7 5 37 33 7 287 307 147 
185     11      148     1 3 7 5 27 19 93 173 145 821 139 
186     11      157     1 1 1 15 23 61 123 85 375 699 229 
187     11      158     1 1 3 3 25 21 127 53 247 1005 831 
188     11      162     1 1 5 7 25 39 27 247 319 659 1453 
189     11      164     1 1 3 11 31 45 67 195 11 481 83 
190     11      168     1 1 5 13 27 61 5 173 353 733 1189 
191     11      173     1 3 7 7 23 49 119 145 285 873 641 
192     11      185     1 3 3 9 1 17 119 121 203 483 1601 
193     11      186     1 3 1 11 21 35 121 11 213 93 77 
194     11      191     1 1 3 7 7 5 27 153 223 831 679 
195     11      193     1 3 3 5 1 39 39 233 483 667 1367 
196     11      199     1 1 3 13 19 51 21 209 381 787 1451 
197     11      213     1 1 7 3 15 9 29 225 225 389 1075 
198     11      214     1 1 3 5 13 57 55 229 279 1019 1491 
199     11      220     1 3 3 9 19 19 35 15 335 685 1987 
200     11      227     1 3 7 11 1 5 3 29 19 363 247 
201     11      236     1 1 5 11 13 17 17 253 365 397 1643 
202     11      242     1 3 3 15 25 23 81 243 343 441 1675 
203     11      251     1 3 5 11 15 51 23 213 235 997 1205 
204     11      256     1 1 7 7 5 39 99 165 331 795 803 
205     11      259     1 3 7 13 31 63 109 171 151 269 581 
206     11      265     1 3 1 7 25 13 41 75 411 425 267 
207     11      266     1 1 3 7 1 31 49 113 473 677 395 
208     11      276     1 3 3 5 23 43 111 171 489 949 1681 
209     11      292     1 3 1 5 5 37 67 23 115 909 853 
210     11      304     1 1 3 3 27 35 63 45 481 571 793 
211     11      310     1 1 3 15 11 45 53 225 147 935 1189 
212     11      316     1 1 1 5 15 17 77 59 169 831 163 
213     11      319     1 3 3 1 7 7 127 89 117 461 815 
214     11      322     1 1 5 1 5 43 75 33 461 345 1367 
215     11      328     1 3 7 9 13 19 105 7 275 719 459 
216     11      334     1 3 5 13 13 49 79 59 325 713 1059 
217     11      339     1 1 3 5 29 5 85 155 491 319 2003 
218     11      341     1 1 3 9 1 31 107 27 41 759 1685 
219     11      345     1 1 7 7 25 1 33 15 351 797 1517 
220     11      346     1 1 3 9 29 29 125 101 45 849 1091 
221     11      362     1 3 3 11 9 3 125 207 23 615 759 
222     11      367     1 3 7 3 5 41 45 229 75 343 1623 
223     11      372     1 3 3 13 13 29 7 35 307 667 1691 
224     11      375     1 1 3 5 25 23 29 251 43 921 945 
225     11      376     1 3 5 3 29 39 41 91 65 619 531 
226     11      381     1 3 1 1 23 45 55 173 181 193 969 
227     11      385     1 1 7 15 17 43 119 9 375 899 1407 
228     11      388     1 3 1 9 5 37 45 187 249 721 1487 
229     11      392     1 1 7 5 17 3 95 237 359 221 841 
230     11      409     1 1 5 11 1 41 59 65 187 499 813 
231     11      415     1 1 3 1 21 55 77 39 335 665 645 
232     11      416     1 1 3 13 31 15 1 211 441 7 337 
233     11      421     1 1 1 9 9 55 63 77 151 663 621 
234     11      428     1 1 3 7 1 49 27 69 213 739 1467 
235     11      431     1 1 3 9 15 21 65 209 237 91 917 
236     11      434     1 3 3 1 7 15 91 175 71 185 1363 
237     11      439     1 1 1 11 25 13 115 49 217 171 463 
238     11      446     1 3 3 15 27 37 7 91 265 33 1491 
239     11      451     1 3 3 3 23 5 97 65 361 613 453 
240     11      453     1 3 5 3 11 9 43 229 371 93 1643 
241     11      457     1 3 1 1 7 43 99 225 495 185 511 
242     11      458     1 1 7 5 13 49 111 165 363 199 585 
243     11      471     1 3 3 15 9 63 119 61 35 793 473 
244     11      475     1 3 7 15 5 19 67 185 111 845 1735 
245     11      478     1 1 3 5 7 43 83 195 211 951 1083 
246     11      484     1 3 3 9 13 51 83 151 427 571 1403 
247     11      493     1 1 7 1 3 21 111 17 305 53 23 
248     11      494     1 1 1 9 7 31 55 177 9 981 521 
249     11      499     1 1 7 9 31 21 97 1 493 509 737 
250     11      502     1 1 5 11 7 41 103 131 241 341 1345 
251     11      517     1 3 1 9 27 33 23 111 409 577 365 
252     11      518     1 1 5 13 21 1 23 85 405 741 349 
253     11      524     1 1 1 15 3 17 59 139 95 497 117 
254     11      527     1 3 5 3 3 3 7 25 87 443 1215 
255     11      555     1 1 1 15 27 25 57 171 443 719 1577 
256     11      560     1 1 5 7 13 15 79 57 285 591 797 
257     11      565     1 3 7 1 15 1 45 235 393 939 621 
258     11      569     1 1 1 3 21 61 59 59 381 1 1889 
259     11      578     1 1 3 3 25 27 15 19 63 609 1487 
260     11      580     1 1 7 9 19 1 125 137 305 17 1261 
261     11      587     1 3 7 1 15 29 39 97 121 929 325 
262     11      589     1 3 3 15 15 47 93 75 45 159 1917 
263     11      590     1 1 1 13 29 55 5 233 501 179 691 
264     11      601     1 1 7 11 13 39 65 3 295 561 1045 
265     11      607     1 1 1 3 29 17 27 159 47 417 1897 
266     11      611     1 3 3 13 23 13 63 63 377 477 1595 
267     11      614     1 3 7 13 1 37 125 127 379 197 145 
268     11      617     1 1 1 9 11 53 15 13 5 107 661 
269     11      618     1 3 1 13 15 53 51 241 65 291 1327 
270     11      625     1 1 3 7 13 9 127 229 145 439 1077 
271     11      628     1 1 5 3 11 35 23 79 407 625 849 
272     11      635     1 3 7 3 31 37 19 65 235 277 223 
273     11      641     1 1 3 1 23 33 105 39 265 365 1867 
274     11      647     1 3 3 5 1 49 67 231 279 617 1015 
275     11      654     1 3 1 13 3 15 123 227 111 395 1741 
276     11      659     1 3 3 5 21 39 103 145 293 7 625 
277     11      662     1 3 3 3 13 13 65 1 229 893 1559 
278     11      672     1 3 5 11 3 5 109 171 123 275 1057 
279     11      675     1 3 7 13 23 57 73 227 45 989 45 
280     11      682     1 1 3 3 13 1 113 107 57 219 1169 
281     11      684     1 1 1 3 21 31 39 127 111 89 939 
282     11      689     1 1 1 11 13 63 41 225 191 459 547 
283     11      695     1 3 5 9 19 31 79 23 215 19 1535 
284     11      696     1 1 7 9 5 3 121 247 327 417 1907 
285     11      713     1 1 3 3 1 29 113 159 79 699 375 
286     11      719     1 3 5 13 13 19 89 105 489 451 625 
287     11      724     1 1 1 9 7 31 71 9 111 67 397 
288     11      733     1 3 5 7 21 25 115 97 95 901 1227 
289     11      734     1 3 7 11 13 29 25 63 53 939 1059 
290     11      740     1 1 5 11 9 5 59 175 363 803 289 
291     11      747     1 1 3 11 13 27 7 45 487 725 93 
292     11      749     1 3 5 13 17 35 69 7 437 545 1779 
293     11      752     1 3 5 1 27 63 97 197 413 89 1765 
294     11      755     1 1 5 11 23 17 117 93 381 977 421 
295     11      762     1 1 1 3 11 23 39 157 107 181 441 
296     11      770     1 3 1 1 31 47 53 203 147 807 909 
297     11      782     1 1 3 1 21 1 91 203 327 729 587 
298     11      784     1 1 5 7 31 21 49 87 485 255 119 
299     11      787     1 3 7 5 29 23 103 223 161 423 1317 
300     11      789     1 3 3 3 5 53 71 99 237 343 757 
301     11      793     1 3 5 13 23 37 17 129 69 779 1729 
302     11      796     1 3 3 13 15 1 37 143 389 747 1493 
303     11      803     1 1 7 3 19 11 25 245 93 635 779 
304     11      805     1 3 3 7 5 39 61 225 477 349 607 
305     11      810     1 1 3 13 1 39 99 127 175 313 653 
306     11      815     1 3 3 5 21 25 27 239 187 557 395 
307     11      824     1 1 5 3 21 45 1 235 335 101 1289 
308     11      829     1 3 1 9 31 17 85 97 13 49 5 
309     11      830     1 1 1 11 27 49 99 235 243 583 27 
310     11      832     1 1 1 1 13 23 57 81 403 131 191 
311     11      841     1 1 1 11 23 7 43 21 367 219 125 
312     11      847     1 3 1 11 13 35 103 247 465 261 2029 
313     11      849     1 3 5 7 11 27 49 99 441 447 967 
314     11      861     1 3 7 3 7 7 107 135 209 375 1995 
315     11      871     1 1 5 9 9 33 15 143 113 769 99 
316     11      878     1 3 3 11 19 53 21 219 155 157 1749 
317     11      889     1 1 1 3 29 51 69 141 201 129 2045 
318     11      892     1 3 7 13 21 33 127 9 243 919 353 
319     11      901     1 3 1 1 21 15 85 147 27 365 1835 
320     11      908     1 3 7 11 19 25 61 237 111 265 1443 
321     11      920     1 3 5 1 21 29 1 49 73 577 1837 
322     11      923     1 3 5 13 29 11 117 133 69 971 1655 
323     11      942     1 1 5 9 23 35 71 231 53 469 521 
324     11      949     1 3 5 7 11 11 125 105 497 433 1687 
325     11      950     1 1 5 13 9 9 107 51 227 39 1573 
326     11      954     1 1 7 1 7 23 87 241 415 855 593 
327     11      961     1 1 5 11 17 47 19 199 439 139 887 
328     11      968     1 3 7 13 13 39 97 235 97 223 1681 
329     11      971     1 3 1 11 31 41 81 187 51 71 847 
330     11      973     1 3 1 3 13 11 77 251 281 735 1515 
331     11      979     1 1 7 5 29 9 103 97 9 861 1713 
332     11      982     1 1 7 11 19 23 15 155 377 723 987 
333     11      986     1 3 5 11 27 39 29 23 419 549 1781 
334     11      998     1 3 1 15 7 11 113 7 217 1009 1365 
335     11      1001    1 1 3 15 23 17 51 77 57 107 825 
336     11      1010    1 3 7 9 5 1 25 149 505 273 665 
337     11      1012    1 3 7 13 17 25 79 41 257 221 473 
338     12      41      1 3 7 1 19 45 55 129 209 383 467 3939 
339     12      52      1 1 7 9 1 51 1 75 369 565 337 1707 
340     12      61      1 1 5 9 17 53 53 111 153 571 357 2455 
341     12      62      1 3 7 3 15 55 95 11 287 733 453 713 
342     12      76      1 1 7 13 29 17 115 45 37 943 1635 167 
343     12      104     1 1 1 5 15 35 67 227 117 397 1431 2257 
344     12      117     1 1 7 3 17 43 9 49 397 73 1249 2463 
345     12      131     1 1 5 1 1 55 59 161 149 163 123 709 
346     12      143     1 1 7 3 15 5 121 99 81 255 2023 1685 
347     12      145     1 3 1 7 7 1 31 233 419 849 419 3413 
348     12      157     1 1 5 7 5 33 91 143 1 559 91 923 
349     12      167     1 3 3 15 29 19 95 85 361 313 625 299 
350     12      171     1 3 5 3 25 25 35 173 481 677 737 2825 
351     12      176     1 3 5 7 5 33 77 245 25 987 1791 3287 
352     12      181     1 3 1 9 1 47 61 65 467 679 1199 775 
353     12      194     1 3 7 7 1 45 13 107 129 589 691 2195 
354     12      217     1 3 7 13 19 57 1 105 111 925 1629 2985 
355     12      236     1 1 5 1 23 39 107 77 211 277 57 1659 
356     12      239     1 3 7 1 23 35 125 103 153 461 81 3541 
357     12      262     1 3 3 11 5 17 101 251 497 209 661 511 
358     12      283     1 3 7 5 19 39 29 167 469 737 1181 2823 
359     12      286     1 3 5 15 7 33 121 221 483 645 761 1349 
360     12      307     1 1 5 11 31 37 81 199 285 453 473 1939 
361     12      313     1 1 3 5 11 23 85 219 421 433 861 3509 
362     12      319     1 3 7 13 5 25 17 225 243 1 805 1025 
363     12      348     1 1 5 13 29 13 33 159 153 715 473 3 
364     12      352     1 1 5 13 3 31 27 89 441 793 1749 2595 
365     12      357     1 3 1 5 3 41 15 97 249 483 1467 445 
366     12      391     1 1 5 1 17 31 43 181 319 487 1307 1591 
367     12      398     1 3 3 3 25 49 79 109 415 165 1995 3667 
368     12      400     1 3 1 13 15 55 121 233 255 163 707 1779 
369     12      412     1 3 5 13 29 31 11 179 477 199 1749 2303 
370     12      415     1 1 1 7 25 49 5 161 507 905 451 3235 
371     12      422     1 1 3 13 5 5 13 203 357 929 1913 2363 
372     12      440     1 1 5 1 19 53 89 115 353 529 525 3019 
373     12      460     1 3 3 15 21 37 9 15 117 565 1017 3845 
374     12      465     1 3 1 7 21 11 43 185 465 543 1691 435 
375     12      468     1 1 7 3 11 11 29 17 283 915 855 437 
376     12      515     1 3 3 11 25 39 83 89 145 1023 939 1977 
377     12      536     1 1 5 15 7 51 41 211 367 683 1845 123 
378     12      539     1 1 7 3 3 59 1 191 309 285 889 2137 
379     12      551     1 1 3 9 15 63 19 151 437 961 145 3693 
380     12      558     1 3 1 5 23 9 55 93 1 481 557 3791 
381     12      563     1 1 1 11 1 3 115 205 457 927 565 3379 
382     12      570     1 3 7 7 13 9 9 159 153 367 21 2343 
383     12      595     1 1 5 3 21 27 77 159 155 811 1985 2053 
384     12      598     1 3 1 3 7 1 65 97 451 845 1657 2629 
385     12      617     1 3 3 7 25 21 91 103 443 257 2029 961 
386     12      647     1 3 7 9 15 19 17 85 389 5 9 41 
387     12      654     1 1 3 13 13 39 95 121 505 999 1399 2423 
388     12      678     1 1 7 5 31 23 99 195 331 661 21 1075 
389     12      713     1 3 7 13 5 57 75 221 145 639 1353 3825 
390     12      738     1 3 7 3 29 7 119 229 435 681 677 2683 
391     12      747     1 1 3 15 15 19 103 55 467 585 1189 173 
392     12      750     1 1 7 3 13 3 33 199 281 145 1445 2425 
393     12      757     1 1 5 11 9 63 81 211 425 967 1937 525 
394     12      772     1 3 7 13 23 27 37 45 337 801 1583 1983 
395     12      803     1 1 1 1 9 51 17 189 197 619 767 1313 
396     12      810     1 3 7 7 11 25 75 49 103 593 37 2261 
397     12      812     1 3 1 5 11 33 113 165 57 631 2019 3625 
398     12      850     1 1 1 11 31 61 113 253 481 197 1813 2651 
399     12      862     1 3 3 3 15 39 61 159 55 325 495 3017 
400     12      906     1 1 7 13 13 13 43 147 93 569 1795 3983 
401     12      908     1 3 1 3 11 23 61 41 195 479 1193 2779 
402     12      929     1 3 1 3 31 5 95 21 135 697 1735 2055 
403     12      930     1 3 5 13 11 3 99 229 491 591 1405 3233 
404     12      954     1 1 7 13 15 41 81 101 91 929 769 911 
405     12      964     1 1 7 15 31 29 23 71 167 107 1035 1525 
406     12      982     1 1 7 5 21 3 45 5 185 61 1229 803 
407     12      985     1 3 3 1 31 31 89 215 359 711 1823 2677 
408     12      991     1 3 5 1 11 35 39 3 285 289 721 3779 
409     12      992     1 1 3 7 1 19 15 105 33 1023 123 2045 
410     12      1067    1 3 5 5 13 53 45 165 413 1007 1943 2451 
411     12      1070    1 1 3 3 25 13 43 217 273 627 477 3053 
412     12      1096    1 1 3 15 29 39 1 25 479 487 1957 301 
413     12      1099    1 3 7 9 3 33 39 141 13 209 1221 3247 
414     12      1116    1 1 5 9 13 17 37 65 81 609 1449 3757 
415     12      1143    1 3 5 13 17 29 9 65 219 19 947 2573 
416     12      1165    1 3 1 1 3 55 53 89 427 427 23 1955 
417     12      1178    1 3 5 11 21 49 35 227 485 23 1679 3205 
418     12      1184    1 1 1 11 21 23 69 79 317 155 389 447 
419     12      1202    1 1 7 11 19 63 81 87 325 329 1641 1071 
420     12      1213    1 3 1 15 19 7 127 195 285 815 1301 3701 
421     12      1221    1 1 1 15 15 21 57 33 17 761 1727 3307 
422     12      1240    1 1 3 7 11 61 107 123 369 7 411 2259 
423     12      1246    1 1 1 7 25 11 49 45 459 439 925 4011 
424     12      1252    1 1 5 3 13 49 101 3 177 475 1221 173 
425     12      1255    1 3 5 15 25 33 125 177 279 179 1471 4069 
426     12      1267    1 1 1 13 9 57 25 103 303 973 871 455 
427     12      1293    1 1 3 3 11 55 25 95 387 613 499 1073 
428     12      1301    1 1 3 11 23 63 1 99 15 613 1931 1141 
429     12      1305    1 1 3 7 29 41 125 147 271 331 21 845 
430     12      1332    1 3 7 3 1 13 123 129 475 821 211 2457 
431     12      1349    1 3 1 15 25 19 101 171 229 107 1201 1311 
432     12      1384    1 3 7 13 31 31 81 251 465 99 1547 715 
433     12      1392    1 1 5 5 23 57 107 255 389 431 671 1235 
434     12      1402    1 1 1 5 19 41 93 109 233 621 661 889 
435     12      1413    1 1 3 13 3 29 109 197 109 837 1533 3943 
436     12      1417    1 1 1 5 29 45 43 61 13 521 401 623 
437     12      1423    1 3 3 1 19 45 7 117 135 761 1569 1507 
438     12      1451    1 1 1 7 21 1 125 103 357 965 1863 1799 
439     12      1480    1 3 7 9 13 49 87 69 233 695 1567 2823 
440     12      1491    1 3 5 1 19 53 57 85 495 75 1301 3681 
441     12      1503    1 3 3 13 23 7 61 61 87 21 1091 2477 
442     12      1504    1 3 3 13 21 41 117 155 369 233 1453 1465 
443     12      1513    1 3 3 1 19 59 21 121 381 95 37 2973 
444     12      1538    1 3 1 9 11 9 35 225 63 499 1585 3357 
445     12      1544    1 3 1 15 27 49 17 165 473 797 731 2303 
446     12      1547    1 1 7 7 5 43 71 123 355 587 1777 1017 
447     12      1555    1 3 3 7 29 63 63 23 477 279 1639 1407 
448     12      1574    1 3 5 3 21 17 75 113 305 851 191 3039 
449     12      1603    1 1 5 15 23 3 119 227 19 213 1993 105 
450     12      1615    1 1 5 13 19 33 87 29 153 465 1909 3907 
451     12      1618    1 1 3 1 21 55 31 165 213 209 1417 3477 
452     12      1629    1 1 7 5 25 43 43 141 5 227 959 899 
453     12      1634    1 1 1 1 9 35 67 199 471 857 349 1273 
454     12      1636    1 1 1 15 15 47 107 145 125 225 265 3165 
455     12      1639    1 1 5 13 29 19 49 3 481 283 1645 3649 
456     12      1657    1 1 7 9 1 7 103 75 319 807 777 4039 
457     12      1667    1 3 1 5 29 11 53 31 483 667 2011 1895 
458     12      1681    1 1 1 15 19 61 63 241 97 669 1841 23 
459     12      1697    1 3 3 15 3 33 83 109 457 813 1675 587 
460     12      1704    1 1 7 5 17 13 107 43 319 743 1845 2571 
461     12      1709    1 3 1 3 19 37 51 165 303 1001 1675 2313 
462     12      1722    1 1 3 3 31 7 65 151 151 791 1697 2389 
463     12      1730    1 3 7 11 5 57 5 211 395 1013 405 2799 
464     12      1732    1 1 5 11 21 45 21 151 105 263 1995 4073 
465     12      1802    1 1 5 13 5 19 119 247 173 621 1375 621 
466     12      1804    1 3 1 1 1 23 37 253 83 851 209 413 
467     12      1815    1 3 1 13 31 63 79 73 273 11 1567 397 
468     12      1826    1 1 5 3 13 41 59 103 255 999 1005 2601 
469     12      1832    1 1 1 15 5 59 69 137 423 413 1689 2433 
470     12      1843    1 1 1 3 25 49 43 239 165 739 1417 17 
471     12      1849    1 1 5 5 5 9 127 193 87 181 875 3657 
472     12      1863    1 1 5 5 25 45 21 99 3 517 1951 3605 
473     12      1905    1 3 7 9 11 33 61 51 415 563 1619 597 
474     12      1928    1 1 1 5 7 39 33 59 83 201 1667 1235 
475     12      1933    1 3 7 11 11 43 39 27 225 575 209 875 
476     12      1939    1 3 1 9 31 29 41 183 413 459 937 1183 
477     12      1976    1 1 1 3 13 37 63 159 433 191 583 3519 
478     12      1996    1 1 7 7 13 23 73 143 85 449 1375 1381 
479     12      2013    1 1 3 1 29 15 67 119 191 29 1791 1427 
480     12      2014    1 3 1 1 13 47 67 67 351 905 1519 2375 
481     12      2020    1 1 3 5 3 5 1 217 331 983 151 1035 
482     13      13      1 1 1 3 5 57 53 215 427 245 1225 1995 4287 
483     13      19      1 3 7 3 19 47 43 3 369 309 1 3525 2613 
484     13      26      1 3 7 3 31 45 127 131 57 65 317 1605 3533 
485     13      41      1 3 1 15 11 23 111 111 265 947 495 3467 4699 
486     13      50      1 3 7 1 7 43 57 195 97 931 1249 137 683 
